year,finishing_time
1896,12
1900,11
1904,11
1908,10.800000000000001
1912,10.800000000000001
1920,10.800000000000001
1924,10.6
1928,10.800000000000001
1932,10.32
1936,10.300000000000001
1948,10.300000000000001
1952,10.4
1956,10.5
1960,10.199999999999999
1964,10
1968,9.9499999999999993
1972,10.140000000000001
1976,10.06
1980,10.25
1984,9.9900000000000002
1988,9.9199999999999999
1992,9.9600000000000009
1996,9.8399999999999999
2000,9.8699999999999992
2004,9.8499999999999996
2008,9.6899999999999995
2012,9.6300000000000008
2016,9.8100000000000005
2020,9.8000000000000007

